,coc_number,coc_name,cfda_number,program_title,types_of_assistance,objectives,beneficiary_eligability,level_of_detail,level_of_focus_on_homelessness,category,program_website,CFDA_website,fed_funding
11,GA-500,Atlanta Continuum of Care,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,24199229.72
12,HI-501,Honolulu CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,10489600.39
13,ID-500,Boise/Ada County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,3368241.45
14,IL-511,Cook County CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,5802305
15,KY-502,Lexington/Fayette County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,1358664
16,LA-508,Houma-Terrebonne/Thibodaux CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,821977.97
17,LA-504,Baton Rouge CoC,14.238,Shelter Plus Care,B - PROJECT GRANTS,"The Shelter Plus Care Program provides rental assistance, in connection with supportive services funded from sources other than this program, to homeless persons with disabilities (primarily persons who are seriously mentally ill; have chronic problems with alcohol, drugs, or both, or have acquired immunodeficiency syndrome and related diseases) and their families. The program provides assistance through four components: (1) Tenant-based Rental Assistance (TRA); (2) Sponsor-based Rental Assistance (SRA); (3) Project-based Rental Assistance (PRA); (4) and Single Room Occupancy for Homeless Individuals (SRO).",Homeless persons with disabilities and their families. Except in single room occupancy dwellings that are only for homeless individuals with disabilities.,CoC,1,Housing,https://www.hudexchange.info/spc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2c6200c53d783128d143a1977a047db1,-83035
18,MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,604337
19,MI-500,Michigan Balance of State CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,578026.22
20,MO-500,St. Louis County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,10549281.46
21,IA-500,"Sioux City/Dakota, Woodbury Counties CoC",14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,1579512.67
22,NV-501,Reno/Sparks/Washoe County CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,349282
23,NJ-504,Newark/Essex County CoC,14.231,Emergency Solutions Grant Program,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe,1417774
24,NJ-504,Newark/Essex County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,3681810.99
25,NJ-508,Monmouth County CoC,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,5446746.28
26,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,834586.87
