"Agency","Subagency","accountID","Title","Obligation"
"Department of Agriculture","Forest Service",325,"Forest and Rangeland Research",24648521.46
"Department of Agriculture","Forest Service",327,"National Forest System",67409170.78
"Department of Agriculture","Forest Service",326,"State and Private Forestry",77369183.05
"Department of Agriculture","Forest Service",331,"Management of National Forest Lands for Subsistence Uses",28340.73
"Department of Agriculture","Forest Service",328,"Wildland Fire Management",193946213.2
"Department of Agriculture","Forest Service",332,"Flame Wildfire Suppression Reserve Fund",0
"Department of Agriculture","Forest Service",329,"Payments to States, Northern Spotted Owl Guarantee",0
"Department of Commerce","Departmental Management",542,"Salaries and Expenses",111632042.17
"Department of Commerce","Departmental Management",548,"Office of Inspector General",29604867.65
"Department of Commerce","Departmental Management",540,"Office of Inspector General - Recovery Act",273808.49
"Department of Commerce","Departmental Management",545,"Renovation and Modernization",2225698.09
"Department of Commerce","Departmental Management",594,"Working Capital Fund",145032501.5
"Department of Commerce","Departmental Management",625,"Gifts and Bequests",3689191.81
"Department of Commerce","Economic Development Administration",547,"Salaries and Expenses",31061908.63
"Department of Commerce","Economic Development Administration",579,"Economic Development Assistance Programs",96123363.94
"Department of Commerce","Economic Development Administration",591,"Economic Development Revolving Fund, Liquidating Account",0
"Department of Commerce","Bureau of the Census",551,"Current Surveys and Programs",204747865.5
"Department of Commerce","Bureau of the Census",552,"Periodic Censuses and Programs",765342181.92
"Department of Commerce","Bureau of the Census",595,"Census Working Capital Fund",610064053.1
"Department of Commerce","Bureau of Economic Analysis",578,"Salaries and Expenses, Economic and Statistical Analysis",82512246.17
"Department of Commerce","Bureau of Economic Analysis",586,"Economics and Statistics Administration Revolving Fund",1242053.97
"Department of Commerce","International Trade Administration",568,"Operations and Administration",346033769.78
"Department of Commerce","International Trade Administration",607,"Grants to Manufacturers of Worsted Wool Fabrics",0
"Department of Commerce","Bureau of Industry and Security",550,"Operations and Administration",76649154.17
"Department of Commerce","Minority Business Development Agency",549,"Minority Business Development",15173887.27
"Department of Commerce","National Oceanic and Atmospheric Administration",570,"Operations, Research and Facilities",2227822540.63
"Department of Commerce","National Oceanic and Atmospheric Administration",599,"Foreign Fishing Observer Fund",0
"Department of Commerce","National Oceanic and Atmospheric Administration",601,"Marine Mammal Unusual Mortality Event Fund",0
"Department of Commerce","National Oceanic and Atmospheric Administration",573,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology",4197321.98
"Department of Commerce","National Oceanic and Atmospheric Administration",575,"Procurement, Acquisition and Construction",1482174928.16
"Department of Commerce","National Oceanic and Atmospheric Administration",602,"Limited Access System Administration Fund",4353466.91
"Department of Commerce","National Oceanic and Atmospheric Administration",571,"Expenses, Pacific Coastal Salmon Recovery",408351.7
"Department of Commerce","National Oceanic and Atmospheric Administration",609,"Sanctuaries Enforcement Asset Forfeiture Fund",0
"Department of Commerce","National Oceanic and Atmospheric Administration",576,"Coastal Impact Assistance",0
"Department of Commerce","National Oceanic and Atmospheric Administration",577,"NOAA Accrual Contribution to the Uniformed Services Retiree Health",1365012
"Department of Commerce","National Oceanic and Atmospheric Administration",608,"Fisheries Enforcement Asset Forfeiture Fund",3754046.04
"Department of Commerce","National Oceanic and Atmospheric Administration",600,"Promote and Develop Fishery Products and Research Pertaining to American Fisheries",1004830.18
"Department of Commerce","National Oceanic and Atmospheric Administration",606,"Western Pacific Sustainable Fisheries Fund",268250
"Department of Commerce","National Oceanic and Atmospheric Administration",598,"Fishermen's Contingency Fund",19640.49
"Department of Commerce","National Oceanic and Atmospheric Administration",581,"Fisheries Disaster Assistance",0
"Department of Commerce","National Oceanic and Atmospheric Administration",610,"North Pacific Fishery Observer Fund",3159389.07
"Department of Commerce","National Oceanic and Atmospheric Administration",604,"Environmental Improvement and Restoration Fund",0
"Department of Commerce","National Oceanic and Atmospheric Administration",583,"Coastal Zone Management Fund",0
"Department of Commerce","National Oceanic and Atmospheric Administration",585,"Damage Assessment and Restoration Revolving Fund",20639743.41
"Department of Commerce","National Oceanic and Atmospheric Administration",574,"Fisheries Finance Program Account",0
"Department of Commerce","National Oceanic and Atmospheric Administration",592,"Federal Ship Financing Fund",0
"Department of Commerce","U.S. Patent and Trademark Office",566,"Salaries and Expenses",2498093002
"Department of Commerce","National Technical Information Service",582,"NTIS Revolving Fund",127435408
"Department of Commerce","National Institute of Standards and Technology",554,"Scientific and Technical Research and Services",442677455.75
"Department of Commerce","National Institute of Standards and Technology",560,"Scientific and Technical Research and Services - Recovery Act",0
"Department of Commerce","National Institute of Standards and Technology",559,"Industrial Technology Services",84021112.66
"Department of Commerce","National Institute of Standards and Technology",557,"Construction of Research Facilities",41959392.29
"Department of Commerce","National Institute of Standards and Technology",597,"Working Capital Fund",84551007.56
"Department of Commerce","National Institute of Standards and Technology",555,"Wireless Innovation(WIN) Fund",44484466.24
"Department of Commerce","National Telecommunications and Information Administration",561,"Salaries and Expenses",55431604.5
"Department of Commerce","National Telecommunications and Information Administration",562,"Public Telecommunications Facilities",32663.51
"Department of Commerce","National Telecommunications and Information Administration",563,"Information Infrastructure Grants",0
"Department of Commerce","National Telecommunications and Information Administration",564,"Broadband Technology Opportunities Program - Recovery Act",0
"Department of Commerce","National Telecommunications and Information Administration",605,"Digital Television Transition and Public Safety Fund",0
"Department of Commerce","National Telecommunications and Information Administration",624,"Public Safety Trust Fund",30041467.24
"Department of Commerce","National Telecommunications and Information Administration",558,"State and Local Implementation Fund",1613178.08
"Department of Commerce","National Telecommunications and Information Administration",590,"Network Construction Fund",1046835213
"Department of Defense","Military Personnel",1384,"Military Personnel, Army",23303615044.77
"Department of Defense","Military Personnel",1379,"Medicare-Eligible Retiree Health Fund Contribution, Army",1954925000
"Department of Defense","Military Personnel",1055,"Military Personnel, Navy",14306012213.85
"Department of Defense","Military Personnel",1037,"Medicare-Eligible Retiree Health Fund Contribution, Navy",1352369000
"Department of Defense","Military Personnel",1041,"Military Personnel, Marine Corps",6547801634.83
"Department of Defense","Military Personnel",1038,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",766286000
"Department of Defense","Military Personnel",1692,"Military Personnel, Air Force",14066845981.01
"Department of Defense","Military Personnel",1679,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",1319491000
"Department of Defense","Military Personnel",1399,"Reserve Personnel, Army",2270867078.72
"Department of Defense","Military Personnel",1380,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army",376452000
"Department of Defense","Military Personnel",1054,"Reserve Personnel, Navy",965697247.48
"Department of Defense","Military Personnel",1039,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",123448000
"Department of Defense","Military Personnel",1044,"Reserve Personnel, Marine Corps",348027649.72
"Department of Defense","Military Personnel",1040,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",71630000
"Department of Defense","Military Personnel",1695,"Reserve Personnel, Air Force",926633418.61
"Department of Defense","Military Personnel",1680,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",125293000
"Department of Defense","Military Personnel",1396,"National Guard Personnel, Army",4188967535.32
"Department of Defense","Military Personnel",1381,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Army",654412000
"Department of Defense","Military Personnel",1703,"National Guard Personnel, Air Force",1599090127.98
"Department of Defense","Military Personnel",1681,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",216337000
"Department of Defense","Military Personnel",2905,"Concurrent Receipt Accrual Payments to the Military Retirement Fund",6769323000
"Department of Defense","Operation and Maintenance",1385,"Operation and Maintenance, Army",28952474671.46
"Department of Defense","Operation and Maintenance",1061,"Operation and Maintenance, Navy",25992795680.79
"Department of Defense","Operation and Maintenance",1042,"Operation and Maintenance, Marine Corps",3571742080.82
"Department of Defense","Operation and Maintenance",1690,"Operation and Maintenance, Air Force",24992338628.56
"Department of Defense","Operation and Maintenance",2906,"Operation and Maintenance, Defense-Wide",20442306005.74
"Department of Defense","Operation and Maintenance",2909,"Office of the Inspector General",148292677.76
"Department of Defense","Operation and Maintenance",1400,"Operation and Maintenance, Army Reserve",1375466735.39
"Department of Defense","Operation and Maintenance",1063,"Operation and Maintenance, Navy Reserve",515453100.72
"Department of Defense","Operation and Maintenance",1043,"Operation and Maintenance, Marine Corps Reserve",161070874.62
"Department of Defense","Operation and Maintenance",1697,"Operation and Maintenance, Air Force Reserve",1590169558.29
"Department of Defense","Operation and Maintenance",1397,"Operation and Maintenance, Army National Guard",3331411158.42
"Department of Defense","Operation and Maintenance",1701,"Operation and Maintenance, Air National Guard",3520220223.29
"Department of Defense","Operation and Maintenance",2913,"Overseas Contingency Operations Transfer Fund",0
"Department of Defense","Operation and Maintenance",2907,"United States Court of Appeals for the Armed Forces",12042905.54
"Department of Defense","Operation and Maintenance",2908,"Drug Interdiction and Counter-Drug Activities",0
"Department of Defense","Operation and Maintenance",2949,"Support for International Sporting Competitions",603299.06
"Department of Defense","Operation and Maintenance",2940,"Foreign Currency Fluctuations",0
"Department of Defense","Operation and Maintenance",2914,"Defense Health Program",18075766478.1
"Department of Defense","Operation and Maintenance",2943,"Environmental Restoration",0
"Department of Defense","Operation and Maintenance",1378,"Environmental Restoration, Army",0
"Department of Defense","Operation and Maintenance",1678,"Environmental Restoration, Air Force",0
"Department of Defense","Operation and Maintenance",1036,"Environmental Restoration, Navy",0
"Department of Defense","Operation and Maintenance",2910,"Department of Defense Acquisition Workforce Development Fund",291379674.27
"Department of Defense","Operation and Maintenance",2944,"Environmental Restoration, Formerly Used Defense Sites",0
"Department of Defense","Operation and Maintenance",2945,"Overseas Humanitarian, Disaster, and Civic AID",35348967.21
"Department of Defense","Operation and Maintenance",2916,"Cooperative Threat Reduction Account",105579783.67
"Department of Defense","Operation and Maintenance",2974,"Contributions to the Cooperative Threat Reduction Program",800000
"Department of Defense","Operation and Maintenance",2921,"Counterterrorism Partnerships Fund",0
"Department of Defense","Operation and Maintenance",1051,"Payments to Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",0
"Department of Defense","Operation and Maintenance",1406,"Afghanistan Security Forces Fund, Army",1541936593.22
"Department of Defense","Operation and Maintenance",1411,"Afghanistan Infrastructure Fund, Army",14114922.13
"Department of Defense","Operation and Maintenance",1407,"Iraq Security Forces Fund, Army",0
"Department of Defense","Operation and Maintenance",1410,"Pakistan Counterinsurgency Fund, Army",0
"Department of Defense","Operation and Maintenance",1412,"Iraq Train and Equip Fund, Army",368135460.54
"Department of Defense","Operation and Maintenance",1033,"Ship Modernization",0
"Department of Defense","Operation and Maintenance",2946,"Defense Emergency Response Fund",0
"Department of Defense","Operation and Maintenance",2963,"Emergency Response Fund",0
"Department of Defense","Operation and Maintenance",2964,"Defense Cooperation Account",0
"Department of Defense","Operation and Maintenance",2970,"Burden Sharing Contribution",230855424.3
"Department of Defense","Operation and Maintenance",2968,"Use of Proceeds from the Transfer or Disposition of Commissary Facilities",0
"Department of Defense","Operation and Maintenance",1419,"National Science Center, Army",0
"Department of Defense","Operation and Maintenance",1417,"Restoration, Rocky Mountain Arsenal, Army",1773579.7
"Department of Defense","Operation and Maintenance",1069,"Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",0
"Department of Defense","Operation and Maintenance",2965,"Disposal of Department of Defense Real Property",520766.22
"Department of Defense","Operation and Maintenance",2966,"Lease of Department of Defense Real Property",7187809.81
"Department of Defense","Operation and Maintenance",2967,"Department of Defense Overseas Military Facility Investment Recovery Account",0
"Department of Defense","Operation and Maintenance",2972,"Mutually Beneficial Activities",456817.73
"Department of Defense","Operation and Maintenance",2973,"Department of Defense Vietnam War Commemoration Fund",682787.05
"Department of Defense","Operation and Maintenance",1421,"Department of Defense Korean War Commemoration Fund, Army",0
"Department of Defense","International Reconstruction and Other Assistance",1405,"Operating Expenses of the Coalition Provisional Authority, Army",0
"Department of Defense","International Reconstruction and Other Assistance",1404,"Iraq Relief and Reconstruction Fund, Army",0
"Department of Defense","Procurement",1387,"Aircraft Procurement, Army",1866980795.8
"Department of Defense","Procurement",1388,"Missile Procurement, Army",744397344.16
"Department of Defense","Procurement",1389,"Procurement of Weapons and Tracked Combat Vehicles, Army",1347486147.03
"Department of Defense","Procurement",1390,"Procurement of Ammunition, Army",1384751026.07
"Department of Defense","Procurement",1391,"Other Procurement, Army",2973331928.75
"Department of Defense","Procurement",1408,"Joint Improvised Explosive Device Defeat Fund, Army",213623173.66
"Department of Defense","Procurement",1056,"Aircraft Procurement, Navy",9940481291.12
"Department of Defense","Procurement",1057,"Weapons Procurement, Navy",1768804770.44
"Department of Defense","Procurement",1058,"Procurement of Ammunition, Navy and Marine Corps",477553773.75
"Department of Defense","Procurement",1059,"Shipbuilding and Conversion, Navy",9545169660.45
"Department of Defense","Procurement",1060,"National Sea-Based Deterrence Fund, Navy",250058274
"Department of Defense","Procurement",1065,"Other Procurement, Navy",3829341559.22
"Department of Defense","Procurement",1032,"Coastal Defense Augmentation, Navy",0
"Department of Defense","Procurement",1045,"Procurement, Marine Corps",563253580.98
"Department of Defense","Procurement",1682,"Aircraft Procurement, Air Force",9611423003.64
"Department of Defense","Procurement",1684,"Missile Procurement, Air Force",1403965101.5
"Department of Defense","Procurement",1685,"Space Procurement, Air Force",1201215377.4
"Department of Defense","Procurement",1683,"Procurement of Ammunition, Air Force",1091818704.17
"Department of Defense","Procurement",1687,"Other Procurement, Air Force",10156950952.01
"Department of Defense","Procurement",2923,"Procurement, Defense-Wide",2169531994.2
"Department of Defense","Procurement",2924,"National Guard and Reserve Equipment",428305898.55
"Department of Defense","Procurement",2925,"Defense Production Act Purchases",3682523.17
"Department of Defense","Procurement",2926,"Chemical Agents and Munitions Destruction",274403410.79
"Department of Defense","Procurement",1373,"Chemical Agents and Munitions Destruction, Army",0
"Department of Defense","Procurement",2920,"Mine Resistant Ambush Protected Vehicle Fund",0
"Department of Defense","Research, Development, Test, and Evaluation",1392,"Research, Development, Test, and Evaluation, Army",5518802164.32
"Department of Defense","Research, Development, Test, and Evaluation",1052,"Research, Development, Test, and Evaluation, Navy",9349031438.14
"Department of Defense","Research, Development, Test, and Evaluation",1693,"Research, Development, Test, and Evaluation, Air Force",14394854411.78
"Department of Defense","Research, Development, Test, and Evaluation",1686,"Tanker Replacement Transfer Fund, Air Force",0
"Department of Defense","Research, Development, Test, and Evaluation",2928,"Research, Development, Test, and Evaluation, Defense-Wide",9801164948.12
"Department of Defense","Research, Development, Test, and Evaluation",2930,"Operational Test and Evaluation",81662854.56
"Department of Defense","Research, Development, Test, and Evaluation",2975,"Contributions for Renewable Energy Impact Assessments and Mitigation",0
"Department of Defense","Military Construction",1394,"Military Construction, Army",1603436050.71
"Department of Defense","Military Construction",1395,"Military Construction - Recovery Act, Army",0
"Department of Defense","Military Construction",1048,"Military Construction, Navy and Marine Corps",1323005101.75
"Department of Defense","Military Construction",1070,"Ford Island Improvement Account",0
"Department of Defense","Military Construction",1049,"Military Construction - Recovery Act, Navy and Marine Corps",0
"Department of Defense","Military Construction",1688,"Military Construction, Air Force",403448279
"Department of Defense","Military Construction",1689,"Military Construction - Recovery Act, Air Force",0
"Department of Defense","Military Construction",2932,"Military Construction, Defense-Wide",894575374.14
"Department of Defense","Military Construction",2933,"Military Construction - Recovery Act, Defense-Wide",517123.98
"Department of Defense","Military Construction",2942,"North Atlantic Treaty Organization",231851892
"Department of Defense","Military Construction",1402,"Military Construction, Army National Guard",64592799.81
"Department of Defense","Military Construction",1409,"Military Construction - Recovery Act, Army National Guard",0
"Department of Defense","Military Construction",1699,"Military Construction, Air National Guard",18095164.45
"Department of Defense","Military Construction",1700,"Military Construction - Recovery Act, Air National Guard",0
"Department of Defense","Military Construction",1403,"Military Construction, Army Reserve",10821947.46
"Department of Defense","Military Construction",1050,"Military Construction",2399369.49
"Department of Defense","Military Construction",1696,"Military Construction, Air Force Reserve",33100348.42
"Department of Defense","Military Construction",2927,"Chemical Demilitarization Construction, Defense-Wide",289769.36
"Department of Defense","Military Construction",2936,"Department of Defense Base Closure Account",102778732.7
"Department of Defense","Military Construction",2934,"Department of Defense Base Closure Account 1990",849515.76
"Department of Defense","Military Construction",2935,"Department of Defense Base Closure Account 2005",0
"Department of Defense","Military Construction",2935,"Department of Defense Base Closure Account 2006",10203885.94
"Department of Defense","Military Construction",2935,"Department of Defense Base Closure Account 2007",0
"Department of Defense","Military Construction",2941,"Foreign Currency Fluctuations, Construction",0
"Department of Defense","Family Housing",1374,"Family Housing Construction, Army",5187766.59
"Department of Defense","Family Housing",1375,"Family Housing Construction - Recovery Act, Army",0
"Department of Defense","Family Housing",1376,"Family Housing Operation and Maintenance, Army",140564191.97
"Department of Defense","Family Housing",1034,"Family Housing Construction, Navy and Marine Corps",10590745.9
"Department of Defense","Family Housing",1035,"Family Housing Operation and Maintenance, Navy and Marine Corps",129415973.54
"Department of Defense","Family Housing",1674,"Family Housing Construction, Air Force",1390133.16
"Department of Defense","Family Housing",1675,"Family Housing Construction - Recovery Act, Air Force",0
"Department of Defense","Family Housing",1676,"Family Housing Operation and Maintenance, Air Force",114548004.58
"Department of Defense","Family Housing",2937,"Family Housing Construction, Defense-Wide",0
"Department of Defense","Family Housing",2938,"Family Housing Operation and Maintenance, Defense-Wide",30867099.45
"Department of Defense","Family Housing",2953,"Homeowners Assistance Fund",2053144.48
"Department of Defense","Family Housing",2954,"Homeowners Assistance Fund - Recovery Act",0
"Department of Defense","Family Housing",2947,"Department of Defense Family Housing Improvement Fund",2080045.86
"Department of Defense","Family Housing",2948,"Department of Defense Military Unaccompanied Housing Improvement Fund",0
"Department of Defense","Revolving and Management Funds",2959,"National Defense Stockpile Transaction Fund",15773986.67
"Department of Defense","Revolving and Management Funds",2962,"Pentagon Reservation Maintenance Revolving Fund",321872446.2
"Department of Defense","Revolving and Management Funds",1066,"National Defense Sealift Fund, Navy",524696611.2
"Department of Defense","Revolving and Management Funds",2960,"Defense Working Capital Fund",64802572308
"Department of Defense","Revolving and Management Funds",2961,"Building Maintenance Fund",292115581.3
"Department of Defense","Allowances",2952,"Consolidated Reporting for DOD Closed Accounts",0
"Department of Defense","Trust Funds",3001,"Voluntary Separation Incentive Fund",27490700.28
"Department of Defense","Trust Funds",3002,"Host Nation Support for U.S. Relocation Activities",233160780.7
"Department of Defense","Trust Funds",3003,"Support for U.S. Relocation to Guam Activities",4765221.81
"Department of Defense","Trust Funds",2996,"Department of Defense General Gift Fund",378311.26
"Department of Defense","Trust Funds",1727,"Department of the Air Force General Gift Fund, Air Force",2869705.9
"Department of Defense","Trust Funds",1443,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",0
"Department of Defense","Trust Funds",1444,"Department of the Army General Gift Fund, Army",7423810.19
"Department of Defense","Trust Funds",1089,"Department of the Navy General Gift Fund, Navy",1436720.79
"Department of Defense","Trust Funds",1090,"Ships' Stores Profits, Navy",7576408.84
"Department of Defense","Trust Funds",1091,"United States Naval Academy General Gift Fund",7980841.65
"Department of Defense","Trust Funds",2999,"National Security Education Trust Fund",0
"Department of Defense","Trust Funds",2998,"Foreign National Employees Separation Pay Account",5753512.51
"Department of Defense","Trust Funds",1726,"Air Force Cadet Fund, Air Force",0
"Department of Defense","Trust Funds",2997,"Surcharge Collections",89832496.44
"Department of Education","Office of Elementary and Secondary Education",2833,"Education for the Disadvantaged",11372120041.1
"Department of Education","Office of Elementary and Secondary Education",2813,"Chicago Litigation Settlement",0
"Department of Education","Office of Elementary and Secondary Education",2799,"Impact AID",1190771826.84
"Department of Education","Office of Elementary and Secondary Education",2835,"School Improvement Programs",1769203655.55
"Department of Education","Office of Elementary and Secondary Education",2808,"Safe Schools and Citizenship Education",73680018.47
"Department of Education","Office of Elementary and Secondary Education",2798,"Indian Education",23479618.26
"Department of Education","Office of Innovation and Improvement",2809,"Innovation and Improvement",407447158.77
"Department of Education","Office of English Language Acquisition",2838,"Bilingual and Immigrant Education",7945185.97
"Department of Education","Office of Special Education and Rehabilitative Services",2823,"Special Education",9330007582.8
"Department of Education","Office of Special Education and Rehabilitative Services",2824,"Rehabilitation Services and Disability Research",2772776385.75
"Department of Education","Office of Special Education and Rehabilitative Services",2827,"American Printing House for the Blind, Special Institutions for Persons with Disabilities",25431000
"Department of Education","Office of Special Education and Rehabilitative Services",2828,"National Technical Institute for the Deaf",59400000
"Department of Education","Office of Special Education and Rehabilitative Services",2829,"Gallaudet University, Special Institutions for Persons with Disabilities",90956250
"Department of Education","Office of Career, Technical, and Adult Education",2826,"Career, Technical, and Adult Education",781219728.42
"Department of Education","Office of Postsecondary Education",2806,"Higher Education",335602542.8
"Department of Education","Office of Postsecondary Education",2830,"Howard University",163812000
"Department of Education","Office of Postsecondary Education",2817,"College Housing and Academic Facilities Loans Program",285164.43
"Department of Education","Office of Postsecondary Education",2841,"Historically Black College and University Capital Financing Program Account",172856.65
"Department of Education","Office of Postsecondary Education",2818,"College Housing and Academic Facilities Loans, Liquidating Account",0
"Department of Education","Office of Postsecondary Education",2816,"Higher Education Facilities Loans and Insurance",79457.43
"Department of Education","Office of Postsecondary Education",2843,"College Housing Loans, Education",411145.51
"Department of Education","Office of Federal Student Aid",2805,"Student Financial Assistance",6348027921.34
"Department of Education","Office of Federal Student Aid",2821,"Iraq and Afghanistan Service Grants Program",229149.24
"Department of Education","Office of Federal Student Aid",2807,"Student and Administration",913384907.15
"Department of Education","Office of Federal Student Aid",2811,"Teach Grant Program Account",142168423
"Department of Education","Office of Federal Student Aid",2848,"Federal Student Loan Reserve Fund",12483200
"Department of Education","Office of Federal Student Aid",2819,"Federal Direct Student Loan Program",35419293423
"Department of Education","Office of Federal Student Aid",2815,"Federal Family Education Loan Program Account, Education",11155844830
"Department of Education","Office of Federal Student Aid",2814,"Guaranteed Student Loans, Liquidating Account",107517644.7
"Department of Education","Office of Federal Student Aid",2850,"Health Education Assistance Loans Liquidating Account",1118104.22
"Department of Education","Institute of Education Sciences",2837,"Institute of Education Sciences",424267730.95
"Department of Education","Departmental Management",2832,"Program Administration",279839624.76
"Department of Education","Departmental Management",2861,"Contributions,  Education",363716.01
